variable_name,question,question_type,answer_label,value
country,Country name,IHME generated,,
location_id,Country location code,IHME generated,,
observation_id,Observation ID,IHME generated,,
user_id,User ID,Built-in data,,
submission_time,Date and time survey was submitted,Built-in data,,
age,What is your age? ,Select one,Under 16,1
age,What is your age? ,Select one,16 to 25 years old ,2
age,What is your age? ,Select one,26 to 35 years old ,3
age,What is your age? ,Select one,36 to 45 years old ,4
age,What is your age? ,Select one,Over 45 years old ,5
age,What is your age? ,Select one,Not Available,99
gender,What is your gender? ,Select one,Male ,1
gender,What is your gender? ,Select one,Female ,2
gender,What is your gender? ,Select one,Non-Binary,3
gender,What is your gender? ,Select one,Prefer not to answer,88
gender,What is your gender? ,Select one,Not Available,99
geography,Where do you live?,Select one,City center or metropolitan area,1
geography,Where do you live?,Select one,Suburban/Peri-urban,2
geography,Where do you live?,Select one,Rural,3
geography,Where do you live?,Select one,Not Available,99
financial_situation,What is your current financial situation?,Select one,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else",1
financial_situation,What is your current financial situation?,Select one,"I can afford food and regular expenses, but nothing else",2
financial_situation,What is your current financial situation?,Select one,"I can afford food, regular expenses, and clothes, but nothing else",6
financial_situation,What is your current financial situation?,Select one,"I can afford food, but nothing else",3
financial_situation,What is your current financial situation?,Select one,"I can comfortably afford food, clothes, and furniture, and I have savings",4
financial_situation,What is your current financial situation?,Select one,"I can comfortably afford food, clothes, and furniture, but I don't have savings",7
financial_situation,What is your current financial situation?,Select one,I cannot afford enough food for my family,5
financial_situation,What is your current financial situation?,Select one,Prefer not to answer,88
financial_situation,What is your current financial situation?,Select one,Not Available,99
education,What is the highest level of schooling you have completed?,Select one,No formal education,1
education,What is the highest level of schooling you have completed?,Select one,Primary school,2
education,What is the highest level of schooling you have completed?,Select one,Some primary education,7
education,What is the highest level of schooling you have completed?,Select one,Primary school completed,8
education,What is the highest level of schooling you have completed?,Select one,Secondary/high school,3
education,What is the highest level of schooling you have completed?,Select one,Some secondary school / high school,9
education,What is the highest level of schooling you have completed?,Select one,Secondary school/ high school completed,10
education,What is the highest level of schooling you have completed?,Select one,Technical school,4
education,What is the highest level of schooling you have completed?,Select one,"Some technical education (e.g., polytechnic school)",11
education,What is the highest level of schooling you have completed?,Select one,Technical school diploma or degree completed,12
education,What is the highest level of schooling you have completed?,Select one,College or university,5
education,What is the highest level of schooling you have completed?,Select one,Some university or college,13
education,What is the highest level of schooling you have completed?,Select one,university or college degree completed,14
education,What is the highest level of schooling you have completed?,Select one,Post graduate,6
education,What is the highest level of schooling you have completed?,Select one,Post-graduate education,15
education,What is the highest level of schooling you have completed?,Select one,Prefer not to answer,88
education,What is the highest level of schooling you have completed?,Select one,Not Available,99
employment_status,What is your current employment status?,Select one,Employed full-time,1
employment_status,What is your current employment status?,Select one,"I work full-time, either as an employee or self-employed",11
employment_status,What is your current employment status?,Select one,Employed part-time,2
employment_status,What is your current employment status?,Select one,"I work part-time, either as an employee or self-employed",12
employment_status,What is your current employment status?,Select one,Self-employed,3
employment_status,What is your current employment status?,Select one,Student and work part-time,4
employment_status,What is your current employment status?,Select one,I am a student and I work part-time,14
employment_status,What is your current employment status?,Select one,Student,5
employment_status,What is your current employment status?,Select one,I am a student,15
employment_status,What is your current employment status?,Select one,Retired,6
employment_status,What is your current employment status?,Select one,I am retired,16
employment_status,What is your current employment status?,Select one,Unemployed,7
employment_status,What is your current employment status?,Select one,I am unemployed,17
employment_status,What is your current employment status?,Select one,I am doing community or military service,20
